entry_time,exit_time,direction,entry_price,exit_price,pnl,size
2025-08-29 08:00:00+00:00,2025-08-29 14:00:00+00:00,LONG,109738.7619453125,108099.401765625,-7.0832611806220385,0.004053462097665175
2025-08-29 21:00:00+00:00,2025-08-30 17:00:00+00:00,SHORT,108321.086109375,108875.88430468748,-2.7230798183424176,0.00410303777407305
2025-08-30 21:00:00+00:00,2025-08-31 17:00:00+00:00,LONG,108714.53561718749,108883.7026171875,0.2463616584088515,0.004086731633877537
2025-08-31 18:00:00+00:00,2025-09-01 14:00:00+00:00,SHORT,109037.2364296875,109317.15325781249,-1.5859517617280217,0.004074545999539246
2025-09-01 15:00:00+00:00,2025-09-02 02:00:00+00:00,SHORT,108630.7605,110154.46629687499,-6.680622155670109,0.004088857723181796
2025-09-02 03:00:00+00:00,2025-09-02 20:00:00+00:00,SHORT,110238.5963671875,111515.99052343749,-5.591738331106991,0.004025989977895382
2025-09-02 21:00:00+00:00,2025-09-03 17:00:00+00:00,LONG,111306.47653125,112225.5137109375,3.2148646748144154,0.003984653185354114
2025-09-03 18:00:00+00:00,2025-09-04 14:00:00+00:00,SHORT,111890.2243359375,110002.38467968749,7.049308048756246,0.003965103084226457
2025-09-04 15:00:00+00:00,2025-09-05 06:00:00+00:00,LONG,109639.99921874999,111747.999515625,8.08381237798579,0.004049494339307193
2025-09-05 07:00:00+00:00,2025-09-06 03:00:00+00:00,SHORT,112853.658375,111169.18312499998,6.194993957305831,0.003937564398776298
2025-09-06 04:00:00+00:00,2025-09-07 00:00:00+00:00,SHORT,110768.2068515625,110495.4710234375,0.6512803904283408,0.004014293373507663
2025-09-07 04:00:00+00:00,2025-09-08 00:00:00+00:00,SHORT,110472.0501796875,110951.37960156248,-2.3759678981506065,0.004025148526273097
2025-09-08 01:00:00+00:00,2025-09-08 21:00:00+00:00,LONG,111052.90289843749,112178.8572890625,4.057966434598801,0.004002825380136775
2025-09-08 22:00:00+00:00,2025-09-09 15:00:00+00:00,LONG,112351.30156249998,110833.945734375,-6.444659148781514,0.003958174441487548
